seed,n_train,n_test,n_features,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,runtime_seconds
42,239,60,12,0.7682539682539682,0.0820445504835413,0.8166666666666667,0.7857142857142857,0.5789473684210527,0.6666666666666666,0.8825417201540436,0.44760680000763386
123,239,60,12,0.7355128205128205,0.1302682300145758,0.9166666666666666,0.9375,0.7894736842105263,0.8571428571428571,0.9537869062901155,0.45598070000414737
2026,239,60,12,0.7211673384087177,0.11576743406873909,0.8666666666666667,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.9255455712451861,0.4153105999866966
7,239,60,12,0.7181720430107527,0.04401567952373013,0.8833333333333333,0.7307692307692307,1.0,0.8444444444444444,0.9396662387676509,0.522718199994415
99,239,60,12,0.7543819250827039,0.06481521690059473,0.8333333333333334,0.7647058823529411,0.6842105263157895,0.7222222222222222,0.8902439024390243,0.43490059999749064
