mechanism,missing_pct,method,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_accuracy_count,test_precision_mean,test_precision_std,test_precision_min,test_precision_max,test_precision_count,test_recall_mean,test_recall_std,test_recall_min,test_recall_max,test_recall_count,test_f1_mean,test_f1_std,test_f1_min,test_f1_max,test_f1_count,test_roc_auc_mean,test_roc_auc_std,test_roc_auc_min,test_roc_auc_max,test_roc_auc_count
MAR,10,iterative,0.8300000000000001,0.013944333775567948,0.8166666666666667,0.85,5,0.7881548516842635,0.130340387552158,0.6538461538461539,1.0,5,0.6842105263157895,0.1341847240419154,0.5263157894736842,0.8947368421052632,5,0.71520360116709,0.02536445153730238,0.6896551724137931,0.7555555555555555,5,0.897560975609756,0.034774331825194627,0.8575096277278562,0.9525032092426187,5
MAR,10,knn,0.8300000000000001,0.02981423969999717,0.7833333333333333,0.85,5,0.789484126984127,0.14123653633628624,0.6071428571428571,1.0,5,0.6947368421052632,0.13623346426889246,0.5263157894736842,0.8947368421052632,5,0.7196775226122255,0.031547170666064904,0.6857142857142857,0.7567567567567568,5,0.9023106546854942,0.0458425452322043,0.849165596919127,0.975609756097561,5
MAR,10,mean,0.8400000000000001,0.02527625148017185,0.8166666666666667,0.8833333333333333,5,0.7907017543859649,0.12632736301755174,0.6666666666666666,1.0,5,0.7157894736842104,0.13724636642531893,0.631578947368421,0.9473684210526315,5,0.7370481975915781,0.04201802864455363,0.6857142857142857,0.782608695652174,5,0.9006418485237484,0.03832701063200283,0.8632862644415918,0.9646983311938383,5
MAR,10,median,0.8400000000000001,0.027888667551135903,0.8166666666666667,0.8833333333333333,5,0.7973684210526316,0.13639416895736256,0.6428571428571429,1.0,5,0.7157894736842104,0.13724636642531893,0.631578947368421,0.9473684210526315,5,0.7379960226891557,0.035148978351294394,0.6857142857142857,0.7741935483870968,5,0.8983311938382542,0.043616429058362535,0.8388960205391528,0.9621309370988447,5
MAR,20,iterative,0.8266666666666668,0.05845225972250058,0.7666666666666667,0.9166666666666666,5,0.7866666666666667,0.13662601021279466,0.6666666666666666,1.0,5,0.6526315789473685,0.20247772696496152,0.42105263157894735,0.9473684210526315,5,0.6953870658253761,0.125774832386902,0.5517241379310345,0.8484848484848485,5,0.8671373555840821,0.07437553918912904,0.7374839537869062,0.9165596919127085,5
MAR,20,knn,0.8233333333333335,0.053489355119604017,0.7833333333333333,0.9166666666666666,5,0.7661123680241327,0.10934797057243077,0.6538461538461539,0.9375,5,0.6631578947368422,0.18458608333421245,0.42105263157894735,0.8947368421052632,5,0.6956296081651051,0.11574152909570767,0.5517241379310345,0.8571428571428571,5,0.8646983311938381,0.024518277558538266,0.8350449293966623,0.9017971758664954,5
MAR,20,mean,0.82,0.059395098937351516,0.7666666666666667,0.9166666666666666,5,0.7537777777777778,0.09197960052957528,0.6666666666666666,0.8888888888888888,5,0.6526315789473685,0.2058695496379784,0.42105263157894735,0.8947368421052632,5,0.6849220786340462,0.13097023537909436,0.5517241379310345,0.8648648648648649,5,0.8790757381258023,0.04665580981053566,0.7984595635430038,0.9146341463414634,5
MAR,20,median,0.8266666666666668,0.05082650227325637,0.7666666666666667,0.9,5,0.7779690897337956,0.09383157319516157,0.6538461538461539,0.8823529411764706,5,0.6526315789473685,0.19194297398747864,0.42105263157894735,0.8947368421052632,5,0.6948989898989899,0.11713312452214521,0.5333333333333333,0.8333333333333334,5,0.8811296534017972,0.05171642452870217,0.7933247753530167,0.917201540436457,5
MAR,30,iterative,0.8066666666666666,0.056025787713238684,0.7333333333333333,0.8833333333333333,5,0.7273809523809524,0.09797409301695188,0.6,0.875,5,0.6210526315789473,0.13623346426889246,0.47368421052631576,0.7894736842105263,5,0.66650623885918,0.10910839076780526,0.5294117647058824,0.8,5,0.8490372272143774,0.0388713343710289,0.806803594351733,0.8979460847240052,5
MAR,30,knn,0.8300000000000001,0.0447213595499958,0.7833333333333333,0.9,5,0.794479246243952,0.10446908192117135,0.6666666666666666,0.9090909090909091,5,0.6421052631578947,0.12001846579990928,0.5263157894736842,0.7894736842105263,5,0.7023885918003565,0.08324598165192487,0.6060606060606061,0.8333333333333334,5,0.853658536585366,0.05691680225564915,0.7785622593068036,0.9332477535301669,5
