mechanism,missing_pct,imputer_used,feature_count_before,feature_count_after,selected_features,ga_test_accuracy,ga_test_precision,ga_test_recall,ga_test_f1,ga_test_roc_auc,imputed_all_features_f1,imputed_all_features_roc_auc
MAR,10,knn,12,6,"ejection_fraction,platelets,serum_creatinine,sex,smoking,time",0.8166666666666667,0.7857142857142857,0.5789473684210527,0.6666666666666666,0.8883183568677792,0.7428571428571429,0.902439024390244
MAR,20,knn,12,8,"age,anaemia,creatinine_phosphokinase,diabetes,ejection_fraction,serum_creatinine,smoking,time",0.8,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.8658536585365854,0.6470588235294118,0.8632862644415917
MAR,30,knn,12,5,"anaemia,ejection_fraction,platelets,serum_creatinine,time",0.85,0.7777777777777778,0.7368421052631579,0.7567567567567568,0.9017971758664955,0.8333333333333334,0.9332477535301668
MCAR,10,knn,12,7,"anaemia,diabetes,ejection_fraction,serum_creatinine,serum_sodium,smoking,time",0.8,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.8575096277278562,0.6666666666666666,0.8774069319640564
MCAR,20,iterative,12,11,"age,anaemia,creatinine_phosphokinase,diabetes,ejection_fraction,high_blood_pressure,platelets,serum_creatinine,serum_sodium,sex,time",0.7833333333333333,0.7142857142857143,0.5263157894736842,0.6060606060606061,0.79204107830552,0.5882352941176471,0.7747111681643132
MCAR,30,iterative,12,7,"age,creatinine_phosphokinase,diabetes,ejection_fraction,serum_creatinine,smoking,time",0.7666666666666667,0.7777777777777778,0.3684210526315789,0.5,0.7278562259306803,0.4444444444444444,0.7349165596919127
MNAR,10,median,12,6,"age,ejection_fraction,serum_creatinine,sex,smoking,time",0.8333333333333334,0.7647058823529411,0.6842105263157895,0.7222222222222222,0.8761232349165596,0.7058823529411765,0.9050064184852374
MNAR,20,median,12,2,"ejection_fraction,time",0.7666666666666667,1.0,0.2631578947368421,0.4166666666666667,0.711168164313222,0.5,0.8523748395378691
MNAR,30,iterative,12,4,"ejection_fraction,serum_sodium,sex,time",0.7166666666666667,0.5833333333333334,0.3684210526315789,0.45161290322580644,0.748395378690629,0.5714285714285714,0.7830551989730423
