mechanism,missing_pct,imputer_used,seed,feature_count_after,imputed_all_features_f1,imputed_ga_f1,imputed_ga_roc_auc
MCAR,30,iterative,42,7,0.4444444444444444,0.5,0.7278562259306803
MCAR,30,iterative,123,7,0.7058823529411765,0.6470588235294118,0.8530166880616175
MCAR,30,iterative,2026,6,0.7894736842105263,0.75,0.8928112965340179
MNAR,30,iterative,42,4,0.5714285714285714,0.45161290322580644,0.748395378690629
MNAR,30,iterative,123,4,0.6451612903225806,0.6666666666666666,0.8549422336328626
MNAR,30,iterative,2026,5,0.6857142857142857,0.7027027027027027,0.8940949935815148
MAR,20,knn,42,8,0.6470588235294118,0.6470588235294118,0.8658536585365854
MAR,20,knn,123,6,0.8571428571428571,0.7647058823529411,0.9127086007702182
MAR,20,knn,2026,5,0.6666666666666666,0.6153846153846154,0.834403080872914
