seed,n_train,n_test,n_features,cv_f1_mean,cv_f1_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,runtime_seconds
42,239,60,12,0.6605673895996477,0.052301676590123164,0.75,0.6428571428571429,0.47368421052631576,0.5454545454545454,0.7946084724005135,0.437701000017114
123,239,60,12,0.6494064265904873,0.18753881439026637,0.8833333333333333,0.8333333333333334,0.7894736842105263,0.8108108108108109,0.9216944801026957,0.4421503999910783
2026,239,60,12,0.5521598401598402,0.11560797551549122,0.8333333333333334,0.8,0.631578947368421,0.7058823529411765,0.8446726572528883,0.4294048000010662
7,239,60,12,0.648392043294592,0.06043705618535725,0.8666666666666667,0.72,0.9473684210526315,0.8181818181818182,0.8998716302952503,0.4389812000154052
99,239,60,12,0.6722290991256509,0.10657085955317283,0.7833333333333333,0.6875,0.5789473684210527,0.6285714285714286,0.8228498074454428,0.45011560001876205
