variant,n_features,features,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,runtime_seconds,feature_reduction_pct
all_features,12,"age,anaemia,creatinine_phosphokinase,diabetes,ejection_fraction,high_blood_pressure,platelets,serum_creatinine,serum_sodium,sex,smoking,time",0.8166666666666667,0.7857142857142857,0.5789473684210527,0.6666666666666666,0.8825417201540436,0.5074739000119735,0.0
ga_selected,4,"time,ejection_fraction,serum_creatinine,diabetes",0.8333333333333334,0.8,0.631578947368421,0.7058823529411765,0.8145057766367136,0.439330199995311,66.66666666666667
