experiment_id,mechanism,missing_pct,imputation_method,ga_state,seed,n_train,n_test,n_features,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,source_file
MNAR_20_MEAN_NOGA_RF_SEED42,MNAR,20,mean,NOGA,42,239,60,12,0.7666666666666667,1.0,0.2631578947368421,0.4166666666666667,0.8536585365853658,results/metrics/e1_e2_e3_multiseed.csv
MNAR_20_MEDIAN_NOGA_RF_SEED42,MNAR,20,median,NOGA,42,239,60,12,0.7666666666666667,0.7777777777777778,0.3684210526315789,0.5,0.8523748395378691,results/metrics/e1_e2_e3_multiseed.csv
MNAR_20_KNN_NOGA_RF_SEED42,MNAR,20,knn,NOGA,42,239,60,12,0.75,0.7,0.3684210526315789,0.4827586206896552,0.8703465982028241,results/metrics/e1_e2_e3_multiseed.csv
MNAR_20_ITERATIVE_NOGA_RF_SEED42,MNAR,20,iterative,NOGA,42,239,60,12,0.7833333333333333,1.0,0.3157894736842105,0.48,0.8318356867779204,results/metrics/e1_e2_e3_multiseed.csv
MNAR_30_MEAN_NOGA_RF_SEED42,MNAR,30,mean,NOGA,42,239,60,12,0.7333333333333333,0.6666666666666666,0.3157894736842105,0.4285714285714285,0.7798459563543003,results/metrics/e1_e2_e3_multiseed.csv
MNAR_30_MEDIAN_NOGA_RF_SEED42,MNAR,30,median,NOGA,42,239,60,12,0.7666666666666667,0.8571428571428571,0.3157894736842105,0.4615384615384615,0.7991014120667523,results/metrics/e1_e2_e3_multiseed.csv
MNAR_30_KNN_NOGA_RF_SEED42,MNAR,30,knn,NOGA,42,239,60,12,0.7333333333333333,0.6666666666666666,0.3157894736842105,0.4285714285714285,0.7625160462130937,results/metrics/e1_e2_e3_multiseed.csv
MNAR_30_ITERATIVE_NOGA_RF_SEED42,MNAR,30,iterative,NOGA,42,239,60,12,0.8,0.8888888888888888,0.4210526315789473,0.5714285714285714,0.7830551989730423,results/metrics/e1_e2_e3_multiseed.csv
MCAR_10_MEAN_NOGA_RF_SEED123,MCAR,10,mean,NOGA,123,239,60,12,0.8666666666666667,0.9230769230769232,0.631578947368421,0.75,0.9582798459563544,results/metrics/e1_e2_e3_multiseed.csv
MCAR_10_MEDIAN_NOGA_RF_SEED123,MCAR,10,median,NOGA,123,239,60,12,0.8833333333333333,0.9285714285714286,0.6842105263157895,0.7878787878787878,0.9582798459563544,results/metrics/e1_e2_e3_multiseed.csv
MCAR_10_KNN_NOGA_RF_SEED123,MCAR,10,knn,NOGA,123,239,60,12,0.8833333333333333,0.9285714285714286,0.6842105263157895,0.7878787878787878,0.960847240051348,results/metrics/e1_e2_e3_multiseed.csv
