mechanism,missing_pct,imputer_used,feature_count_after,complete_rf_f1,complete_rf_roc_auc,complete_ga_rf_f1,complete_ga_rf_roc_auc,imputed_rf_f1,imputed_rf_roc_auc,imputed_ga_rf_f1,imputed_ga_rf_roc_auc
MAR,10,knn,6,0.6666666666666666,0.8825417201540436,0.7058823529411765,0.8145057766367136,0.7428571428571429,0.902439024390244,0.6666666666666666,0.8883183568677792
MAR,20,knn,8,0.6666666666666666,0.8825417201540436,0.7058823529411765,0.8145057766367136,0.6470588235294118,0.8632862644415917,0.6470588235294118,0.8658536585365854
MAR,30,knn,5,0.6666666666666666,0.8825417201540436,0.7058823529411765,0.8145057766367136,0.8333333333333334,0.9332477535301668,0.7567567567567568,0.9017971758664955
MCAR,10,knn,7,0.6666666666666666,0.8825417201540436,0.7058823529411765,0.8145057766367136,0.6666666666666666,0.8774069319640564,0.6470588235294118,0.8575096277278562
MCAR,20,iterative,11,0.6666666666666666,0.8825417201540436,0.7058823529411765,0.8145057766367136,0.5882352941176471,0.7747111681643132,0.6060606060606061,0.79204107830552
MCAR,30,iterative,7,0.6666666666666666,0.8825417201540436,0.7058823529411765,0.8145057766367136,0.4444444444444444,0.7349165596919127,0.5,0.7278562259306803
MNAR,10,median,6,0.6666666666666666,0.8825417201540436,0.7058823529411765,0.8145057766367136,0.7058823529411765,0.9050064184852374,0.7222222222222222,0.8761232349165596
MNAR,20,median,2,0.6666666666666666,0.8825417201540436,0.7058823529411765,0.8145057766367136,0.5,0.8523748395378691,0.4166666666666667,0.711168164313222
MNAR,30,iterative,4,0.6666666666666666,0.8825417201540436,0.7058823529411765,0.8145057766367136,0.5714285714285714,0.7830551989730423,0.45161290322580644,0.748395378690629
